ingles,traducao_pt
"slower car ahead, we're racing this guy for position, don't expect a blue flag","Carro mais lento à frente, Estamos disputando posição com ele, não espere bandeira azul"
"slow car ahead, there'll be no blue flag here, we're on the same lap","Carro lento à frente, Nada de bandeira azul aqui, estamos na mesma volta"
"slow car ahead, this guy's racing us for position, don't expect a blue flag","Carro lento à frente, Esse cara tá disputando posição com a gente, Sem bandeira azul"
"slow car ahead, this guy's on our lap, he won't get a blue flag, he's racing us for position","Carro lento à frente, Ele tá na mesma volta, disputando posição, Não vai ter bandeira azul"
"slow car ahead, this is for position so don't expect a blue flag","Carro lento à frente, A disputa é por posição, Não espere bandeira azul"
"slower car ahead, this guy's racing us for position, he won't get a blue flag","Carro mais lento à frente, Esse aí tá brigando por posição, sem bandeira azul"
"slow car ahead, this guy's racing us for position, he won't get a blue flag","Carro lento à frente, Ele tá na disputa com a gente, Não tem bandeira azul"
"slower car ahead, we're racing them for position so they'll get no blue flag","Carro mais lento à frente, Tamo na briga por posição, não vai ter bandeira azul pra eles"
"slow car ahead, we're on the same lap so they'll get no blue flag","Carro lento à frente, Estamos na mesma volta, Eles não vão receber bandeira azul"
"slower car ahead, this guy won't get a blue flag because he's racing us for position","Carro mais lento à frente, Esse tá na disputa, não vai ter bandeira azul"
Group A class cars,Grupo A Carros de classe
Group A runners,Grupo A corredores
Group 6,Grupo Seis
LMP3,LMP3
"slower cars ahead, the class leader's in this group, these guys are scrapping for position","Carros mais lentos à frente, O líder da classe tá nesse grupo, eles tão disputando posição"
"slower cars ahead, these guys are fighting for position, the group includes their class leader","Carros mais lentos à frente, Eles tão brigando por posição e o líder da classe tá no meio"
"you're coming up on some slower cars, these guys are fighting for position, the class leader's in this group","Você tá chegando num grupo de carros mais lentos, Eles tão disputando posição e o líder da classe tá com eles"
"slower cars ahead, these guys are slugging it out for position, the class leader's in this group","Carros mais lentos à frente, Essa galera tá se pegando por posição e o líder da classe tá aí"
faster cars approaching,Carros mais rápidos se aproximando
there's a group of faster cars behind,Tem um grupo de carros mais rápidos vindo atrás
there's a group of faster cars bearing down on you,"Tem um grupo de carros mais rápidos se aproximando forte, Fica ligado!"
GT4 cars,Carros GT4
GT4 class cars,Carros da classe GT4
GT4 runners,Corredores GT4
GT-E cars,Carros GT-E
GT-E class cars,Carros de classe GT-E
GT-E runners,GT-E corredores
GT Two,GT dois
Group 5,Grupo Cinco
"faster cars approaching, they're battling for position, the group includes the class leader","Carros mais rápidos se aproximando, Estão brigando por posição e o líder da classe tá no meio"
"there's some faster cars approaching, they're fighting for position, the group includes the class leader","Tem carros mais rápidos vindo aí, Estão disputando posição, com o líder da classe no grupo"
"there's a group of faster cars approaching, they're fighting for position, their class leader's in the group","Um grupo de carros mais rápidos tá se aproximando, Eles tão lutando por posição e o líder da classe tá junto"
"faster cars approaching, they're scrapping for position, the class leader's in this group","Carros mais rápidos chegando, Tão na disputa por posição e o líder da classe tá nesse grupo"
GTC,GTC
GT3 Hundred,GT3
slower class cars ahead,Carros de classe mais lenta à frente
you're approaching a group of slower cars,Você está se aproximando de um grupo de carros mais lentos
there's a group of slower cars ahead,Há um grupo de carros mais lentos à frente
you're approaching a group of slower class cars,Você está se aproximando de um grupo de carros de classe mais lenta
class runners,Líderes de classe
class drivers,Pilotos da mesma classe
class cars,Carros da mesma classe
DTM,dtm
slower class car ahead,Carro de classe mais lenta à frente
you're coming up on a slower class car,Você está se aproximando de um carro de classe mais lenta
you're coming up on a slower car,Você está chegando em um carro mais lento
DTM runners,Corredores DTM
DTM-class cars,Carros da classe DTM
DTM cars,Carros DTM
LMP2,LMP2
LMP1 cars,Carros LMP1
LMP1 runners,Corredores LMP1
LMP1 class cars,Carros da classe LMP1
GT500,GT500
"slower car ahead, this is their class leader","carro mais lento à frente, este é o líder de classe deles"
"slower class car ahead, he's their class leader","Carro de classe mais lenta à frente, Ele é o líder da turma deles"
"slow car ahead, this guy's their class leader","Carro lento à frente, Esse cara é o líder da classe"
"slower car ahead, it's their class leader","Carro mais lento à frente, É o líder da categoria deles"
"slower car ahead, he's the class leader for these guys","Carro mais lento à frente, Ele é o líder da classe desse grupo"
"slower car ahead, this guy's the class leader","Carro mais lento à frente, Esse é o líder da classe"
"slower car ahead, this guy's their class leader","Carro mais lento à frente, Esse cara lidera a classe deles"
"slow car ahead, this is the leader for their class","Carro lento à frente, É o líder da classe deles"
"there's a faster car behind, he's on our lap, we're not gonna get a blue flag","Carro mais rápido atrás, Ele tá na nossa volta, não vai ter bandeira azul"
"there's a faster car approaching, he's racing us for position, don't expect a blue flag","Carro mais rápido se aproximando, Tá disputando posição com a gente, Sem bandeira azul"
"there's a faster car approaching, they're on our lap so there'll be no blue flag","Carro mais rápido se aproximando, Ele tá na nossa volta, então não tem bandeira azul"
"there's a faster car behind, we're racing them for position so there'll be no blue flag","Carro mais rápido vindo por trás, Tamo brigando por posição, então não vai rolar bandeira azul"
"faster car approaching, he's racing us for position, don't expect a blue","Carro mais rápido chegando, Tá na disputa com a gente, sem bandeira azul"
"faster car behind, they're racing us for position, there'll be no blue flag","Carro mais rápido atrás, Eles tão na briga com a gente, não vai ter bandeira azul"
"faster car approaching, they're racing us for position - don't expect and blue flag","Carro mais rápido se aproximando, Tão disputando posição, sem chance de bandeira azul"
"there's a faster car behind, he's racing us for position, I don't think we'll get a blue flag","Carro mais rápido atrás, Tá na briga com a gente, Acho que não vai sair bandeira azul"
"faster car behind, he's racing us for position, don't expect a blue flag","Carro mais rápido atrás, Tá disputando posição, Não espere bandeira azul"
GT3 class cars,Carros da classe GT3
GT3 runners,GT3 corredores
GT3 cars,Carros GT3
"there's faster cars approaching, the group includes the class leader","Carros mais rápidos se aproximando, O grupo inclui o líder da classe"
"there's faster cars behind, along with the class leader","Carros mais rápidos se aproximando, O grupo inclui o líder da classe"
"there's faster cars behind, this group includes their class leader","Grupo de carros rápidos atrás, inclui o líder da classe deles"
"there's faster cars approaching, this group includes the class leader","Carros mais rápidos se aproximando, Esse grupo traz o líder da classe, 5, Mesmo que a gente"
same as us,Mesma classe que a nossa
same class as us,Mesma classe que a gente
